Watching for file changes with StatReloader
[16/Mar/2020 02:54:58] "GET / HTTP/1.1" 200 111
[16/Mar/2020 02:55:00] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 02:55:00] "GET /static/css/base.css HTTP/1.1" 304 0
[16/Mar/2020 02:55:00] "GET /static/main_img.png HTTP/1.1" 304 0
[16/Mar/2020 02:56:00] "GET /static/pro.mp4 HTTP/1.1" 200 79934595
[16/Mar/2020 02:56:20] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 02:56:20] "GET /static/pro.mp4 HTTP/1.1" 200 7401472
[16/Mar/2020 02:56:21] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 02:56:21] "GET /static/pro.mp4 HTTP/1.1" 200 2101248
[16/Mar/2020 02:56:23] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 02:56:23] "GET /static/pro.mp4 HTTP/1.1" 200 4288512
[16/Mar/2020 02:56:24] "GET /accounts/login/ HTTP/1.1" 200 4920
[16/Mar/2020 02:56:24] "GET /static/pro.mp4 HTTP/1.1" 200 1654784
[16/Mar/2020 02:56:24] "GET /static/123.jpg HTTP/1.1" 200 766914
[16/Mar/2020 03:19:36] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:19:59] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:22:51] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:22:59] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:23:14] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:23:16] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:23:16] "GET /static/css/base.css HTTP/1.1" 304 0
[16/Mar/2020 03:23:16] "GET /static/main_img.png HTTP/1.1" 304 0
[16/Mar/2020 03:23:30] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:23:31] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:23:33] "GET /accounts/login/ HTTP/1.1" 200 4920
[16/Mar/2020 03:23:33] "GET /static/pro.mp4 HTTP/1.1" 200 3706880
[16/Mar/2020 03:23:33] "GET /static/123.jpg HTTP/1.1" 304 0
[16/Mar/2020 03:24:06] "GET /admin HTTP/1.1" 301 0
[16/Mar/2020 03:24:06] "GET /admin/ HTTP/1.1" 302 0
[16/Mar/2020 03:24:06] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1933
[16/Mar/2020 03:24:06] "GET /static/pro.mp4 HTTP/1.1" 200 65634304
[16/Mar/2020 03:24:06] "GET /static/admin/css/base.css HTTP/1.1" 200 16378
[16/Mar/2020 03:24:06] "GET /static/admin/css/login.css HTTP/1.1" 200 1233
[16/Mar/2020 03:24:06] "GET /static/admin/css/responsive.css HTTP/1.1" 200 18052
